acc,assay_type,organism
ERR11029118,WGS,human gut metagenome
SRR6714226,WGS,human gut metagenome
ERR3641957,WGS,gut metagenome
ERR11477412,WGS,human gut metagenome
ERR2641788,WGS,human metagenome
SRR12395679,WGS,gut metagenome
ERR2597530,WGS,gut metagenome
ERR2597394,WGS,gut metagenome
SRR17319384,WGS,human gut metagenome
SRR5580160,WGS,human gut metagenome
SRR15081940,WGS,feces metagenome
SRR7989911,WGS,feces metagenome
SRR18498140,WGS,human gut metagenome
SRR11363022,WGS,feces metagenome
SRR11126097,WGS,pig gut metagenome
SRR8960087,WGS,pig gut metagenome
ERR11472754,WGS,human gut metagenome
SRR25947367,WGS,human gut metagenome
SRR20662473,WGS,pig gut metagenome
SRR10816002,WGA,human gut metagenome
ERR4097186,WGS,human gut metagenome
ERR10690090,WGS,feces metagenome
SRR1612000,WGS,gut metagenome
SRR25667344,WGS,pig metagenome
SRR20677853,WGS,human gut metagenome
SRR30834714,WGS,metagenome
ERR11570325,WGS,human gut metagenome
ERR1136717,WGS,human gut metagenome
ERR10101443,WGS,human gut metagenome
ERR7451759,WGS,human gut metagenome
SRR2142188,WGS,human gut metagenome
ERR11474047,WGS,human gut metagenome
ERR5310824,OTHER,Bos taurus
SRR21938121,OTHER,metagenome
SRR21977594,WGA,pig gut metagenome
SRR8898478,WGS,human gut metagenome
SRR22682835,WGS,metagenome
ERR6406461,WGS,human gut metagenome
ERR688546,WGS,human gut metagenome
SRR8960650,WGS,pig gut metagenome
SRR14369253,WGS,pig gut metagenome
SRR15521066,WGS,metagenome
ERR11473108,WGS,human gut metagenome
ERR11477137,WGS,human gut metagenome
DRR520450,WGS,human gut metagenome
SRR12203262,WGS,pig gut metagenome
SRR20627587,WGS,gut metagenome
SRR20627626,WGS,gut metagenome
SRR7060091,WGS,metagenome
SRR21858610,WGS,gut metagenome
SRR8114106,WGS,human gut metagenome
ERR7764187,WGS,wastewater metagenome
SRR11124792,WGS,pig gut metagenome
SRR11125941,WGS,pig gut metagenome
ERR247175,WGS,gut metagenome
ERR11473430,WGS,human gut metagenome
ERR11473055,WGS,human gut metagenome
SRR20662461,WGS,pig gut metagenome
ERR3574897,WGS,sediment metagenome
SRR11413585,OTHER,pig gut metagenome
DRR463961,WGS,human gut metagenome
SRR30834743,WGS,metagenome
ERR1539404,WGS,gut metagenome
ERR321551,WGS,human gut metagenome
ERR260249,WGS,human metagenome
ERR2241885,WGS,metagenome
SRR11805606,WGS,manure metagenome
ERR3607284,WGS,gut metagenome
ERR3573889,WGS,sediment metagenome
SRR22024911,WGS,metagenome
ERR4341828,WGS,gut metagenome
ERR11569956,WGS,human gut metagenome
SRR21969444,OTHER,metagenome
SRR13077893,WGS,human gut metagenome
SRR11183400,WGS,pig gut metagenome
ERR10101763,WGS,human gut metagenome
ERR5729300,OTHER,metagenome
ERR11473628,WGS,human gut metagenome
SRR16280115,WGS,feces metagenome
SRR6915195,WGS,human gut metagenome
ERR4283423,WGS,Homo sapiens
ERR7184237,WGS,Sus scrofa
SRR25571590,WGS,human gut metagenome
SRR22682866,WGS,metagenome
SRR15032159,WGS,human gut metagenome
ERR4330045,WGS,gut metagenome
ERR11570160,WGS,human gut metagenome
ERR11566591,WGS,human gut metagenome
SRR10692731,OTHER,human gut metagenome
SRR11183596,WGS,metagenome
SRR11184105,WGS,pig gut metagenome
SRR11126515,WGS,pig gut metagenome
ERR11457749,WGS,human gut metagenome
SRR10828598,WGS,feces metagenome
ERR3764823,WGS,human gut metagenome
SRR27538781,WGS,human gut metagenome
ERR1135339,WGS,pig gut metagenome
SRR15123565,WGS,gut metagenome
SRR11941518,WGS,human gut metagenome
SRR28751639,WGS,gut metagenome
SRR21858468,WGS,gut metagenome
ERR11569531,WGS,human gut metagenome
SRR11184039,WGS,pig gut metagenome
SRR8960641,WGS,pig gut metagenome
SRR17643962,WGS,human gut metagenome
SRR21977540,WGA,pig gut metagenome
ERR3211906,WGS,pig gut metagenome
SRR16329080,WGS,feces metagenome
SRR5679001,WGS,terrestrial metagenome
SRR12143719,WGS,human gut metagenome
SRR22541744,WGS,human gut metagenome
ERR3521995,WGS,human metagenome
ERR11570781,WGS,human gut metagenome
ERR11569254,WGS,human gut metagenome
ERR10101720,WGS,human gut metagenome
SRR28060472,WGS,wastewater metagenome
SRR11304931,WGS,human gut metagenome
SRR25936363,WGS,pig gut metagenome
SRR5056887,WGS,human gut metagenome
SRR30643495,WGS,metagenome
SRR11126089,WGS,pig gut metagenome
SRR11126464,WGS,pig gut metagenome
SRR14369184,WGS,pig gut metagenome
SRR17643948,WGS,human gut metagenome
ERR7745397,WGS,human gut metagenome
SRR30124099,OTHER,human gut metagenome
SRR18572797,WGA,gut metagenome
ERR2683251,WGS,wastewater metagenome
ERR4398789,WGS,feces metagenome
SRR26820291,WGS,pig gut metagenome
SRR30025590,WGS,human gut metagenome
SRR24315744,WGS,human gut metagenome
SRR15032160,WGS,human gut metagenome
ERR11570712,WGS,human gut metagenome
ERR11564440,WGS,human gut metagenome
SRR11125125,WGS,pig gut metagenome
SRR14369232,WGS,pig gut metagenome
ERR7365102,WGS,human gut metagenome
ERR3519521,WGS,wastewater metagenome
SRR20591093,WGS,pig gut metagenome
SRR10238606,Hi-C,human gut metagenome
SRR18468277,OTHER,human gut metagenome
ERR4678565,WGS,wastewater metagenome
SRR17284052,WGS,human gut metagenome
SRR11489758,WGS,pig gut metagenome
SRR18706994,WGS,metagenome
ERR2020026,WGS,Sus scrofa
ERR2198640,WGS,Homo sapiens
ERR11504425,WGS,human gut metagenome
ERR11566547,WGS,human gut metagenome
ERR11569327,WGS,human gut metagenome
ERR1135267,WGS,pig gut metagenome
SRR17643695,WGS,human gut metagenome
SRR10692637,OTHER,human gut metagenome
ERR11865366,OTHER,fermentation metagenome
SRR16287293,WGS,feces metagenome
ERR6910979,WGS,Homo sapiens
ERR4334236,WGS,gut metagenome
ERR4341763,WGS,gut metagenome
SRR14812349,WGS,manure metagenome
SRR11183726,WGS,pig gut metagenome
SRR8960288,WGS,pig gut metagenome
ERR11457757,WGS,human gut metagenome
ERR11477991,WGS,human gut metagenome
ERR3574770,WGS,sediment metagenome
ERR10798468,WGS,feces metagenome
SRR8898583,WGS,human gut metagenome
ERR10115184,WGS,human gut metagenome
ERR11565335,WGS,human gut metagenome
ERR11504198,WGS,human gut metagenome
SRR11679824,WGS,Mus musculus
SRR11183790,WGS,pig gut metagenome
ERR11478146,WGS,human gut metagenome
ERR11473353,WGS,human gut metagenome
ERR11477407,WGS,human gut metagenome
SRR10692003,OTHER,human gut metagenome
ERR10754599,WGS,feces metagenome
SRR7825895,WGS,human gut metagenome
SRR18189158,WGS,feces metagenome
ERR11504633,WGS,human gut metagenome
SRR8960870,WGS,pig gut metagenome
ERR11474062,WGS,human gut metagenome
ERR11478262,WGS,human gut metagenome
SRR24921143,WGS,Sus scrofa
SRR16168983,WGS,gut metagenome
ERR5194049,OTHER,metagenome
ERR10628422,WGS,human gut metagenome
SRR7989973,WGS,feces metagenome
SRR16526989,WGS,feces metagenome
ERR2722732,WGS,Homo sapiens
SRR8898707,WGS,human gut metagenome
SRR28428379,WGS,human gut metagenome
ERR11564389,WGS,human gut metagenome
SRR11125409,WGS,pig gut metagenome
ERR7746411,WGS,human gut metagenome
SRR1612378,WGS,gut metagenome
SRR5903343,WGS,human gut metagenome
ERR11535192,WGS,metagenome
ERR4283402,WGS,Homo sapiens
ERR7821259,WGS,human gut metagenome
ERR11564202,WGS,human gut metagenome
ERR1600639,WGS,metagenome
ERR912029,WGS,human gut metagenome
SRR8960522,WGS,pig gut metagenome
SRR8960171,WGS,pig gut metagenome
ERR11477836,WGS,human gut metagenome
ERR9880792,OTHER,human gut metagenome
SRR26820210,WGS,pig gut metagenome
SRR17241651,WGS,pig gut metagenome
SRR13712875,WGS,human gut metagenome
ERR12350777,WGS,metagenome
ERR11504397,WGS,human gut metagenome
ERR11568985,WGS,human gut metagenome
ERR11566124,WGS,human gut metagenome
SRR11126470,WGS,pig gut metagenome
SRR23892482,WGS,human gut metagenome
ERR11456974,WGS,human gut metagenome
SRR21969521,OTHER,metagenome
SRR13102396,WGS,human gut metagenome
SRR17237838,WGS,human gut metagenome
ERR4334036,WGS,gut metagenome
ERR11565331,WGS,human gut metagenome
ERR11570811,WGS,human gut metagenome
ERR7821075,WGS,human gut metagenome
ERR11568990,WGS,human gut metagenome
ERR9880686,OTHER,human gut metagenome
ERR3211904,WGS,pig gut metagenome
ERR2597432,WGS,gut metagenome
ERR3004164,WGS,human gut metagenome
ERR10798452,WGS,wastewater metagenome
SRR18706802,WGS,metagenome
ERR11569926,WGS,human gut metagenome
ERR7830126,WGS,human gut metagenome
ERR688570,WGS,human gut metagenome
ERR11569817,WGS,human gut metagenome
SRR24884096,WGS,human gut metagenome
SRR14812351,WGS,manure metagenome
SRR19487790,WGS,human gut metagenome
SRR11125039,WGS,pig gut metagenome
SRR12771475,WGS,human gut metagenome
SRR19487795,WGS,human gut metagenome
ERR10115263,WGS,human gut metagenome
SRR25240073,OTHER,metagenome
SRR11615206,WGA,metagenome
ERR7438491,WGS,Rinodina peloleuca
ERR2607448,WGS,wastewater metagenome
ERR4794239,WGS,human gut metagenome
ERR3574337,WGS,sediment metagenome
SRR23626246,WGS,gut metagenome
SRR22541740,WGS,human gut metagenome
ERR7162908,WGS,human gut metagenome
SRR29467324,OTHER,human gut metagenome
ERR11568931,WGS,human gut metagenome
SRR11125917,WGS,pig gut metagenome
SRR11184064,WGS,pig gut metagenome
SRR8960827,WGS,pig gut metagenome
SRR11125066,WGS,pig gut metagenome
ERR11457641,WGS,human gut metagenome
ERR11478164,WGS,human gut metagenome
SRR20632249,WGS,pig gut metagenome
ERR2597435,WGS,gut metagenome
SRR12875505,WGS,human gut metagenome
SRR14000506,WGS,human gut metagenome
SRR8925743,WGS,bioreactor metagenome
SRR24987723,WGS,human gut metagenome
ERR5961968,WGS,metagenome
ERR7811309,WGS,human gut metagenome
ERR1430509,WGS,metagenome
ERR11564396,WGS,human gut metagenome
SRR29754043,WGS,human metagenome
ERR12719032,WGS,Homo sapiens
SRR19487707,WGS,human gut metagenome
SRR19497819,WGS,pig gut metagenome
SRR11615211,WGA,metagenome
SRR22460804,WGS,pig metagenome
SRR22098411,WGA,metagenome
SRR13371681,WGS,human gut metagenome
ERR3003426,WGS,human gut metagenome
SRR6468615,WGS,human gut metagenome
SRR18652171,WGA,metagenome
SRR8506091,WGS,gut metagenome
SRR25936440,WGS,pig gut metagenome
ERR11566451,WGS,human gut metagenome
ERR11570010,WGS,human gut metagenome
SRR11183697,WGS,pig gut metagenome
ERR11477477,WGS,human gut metagenome
SRR29449281,WGS,human gut metagenome
ERR4398772,WGS,feces metagenome
SRR13102406,WGS,human gut metagenome
SRR17241619,WGS,pig gut metagenome
SRR25936266,WGS,pig gut metagenome
ERR5283950,WGS,gut metagenome
ERR5883826,WGS,human gut metagenome
SRR11183782,WGS,pig gut metagenome
SRR11125036,WGS,pig gut metagenome
ERR11474280,WGS,human gut metagenome
ERR11456871,WGS,human gut metagenome
SRR5371473,WGS,bovine gut metagenome
SRR24987993,WGS,human gut metagenome
ERR11565452,WGS,human gut metagenome
ERR11504162,WGS,human gut metagenome
SRR8960272,WGS,pig gut metagenome
ERR1137225,WGS,human gut metagenome
ERR11029154,WGS,human gut metagenome
ERR11029088,WGS,human gut metagenome
SRR8506115,WGS,gut metagenome
ERR11473338,WGS,human gut metagenome
ERR11472872,WGS,human gut metagenome
SRR20815126,WGS,pig gut metagenome
SRR18572790,WGA,gut metagenome
SRR20627628,WGS,gut metagenome
SRR17335713,WGS,bovine metagenome
SRR26820298,WGS,pig gut metagenome
ERR4283366,WGS,Homo sapiens
ERR5283954,WGS,gut metagenome
DRR509082,WGS,human gut metagenome
SRR14509770,WGS,metagenome
ERR4341678,WGS,gut metagenome
SRR8960154,WGS,pig gut metagenome
ERR1136982,WGS,human gut metagenome
ERR11477582,WGS,human gut metagenome
SRR16329054,WGS,feces metagenome
ERR1135216,WGS,pig gut metagenome
ERR1135186,WGS,pig gut metagenome
SRR16894786,WGS,feces metagenome
SRR16894891,WGS,feces metagenome
ERR3211831,WGS,pig gut metagenome
ERR10753316,WGS,feces metagenome
SRR18491047,WGS,gut metagenome
SRR25571594,WGS,human gut metagenome
SRR25936170,WGS,pig gut metagenome
SRR22024871,WGS,metagenome
ERR11566709,WGS,human gut metagenome
SRR10692113,OTHER,human gut metagenome
SRR22243212,WGA,pig gut metagenome
SRR11125099,WGS,pig gut metagenome
SRR11184009,WGS,pig gut metagenome
SRR8960836,WGS,pig gut metagenome
ERR11458770,WGS,Homo sapiens
ERR11457360,WGS,human gut metagenome
ERR11478501,WGS,human gut metagenome
ERR11456480,WGS,human gut metagenome
ERR11478384,WGS,human gut metagenome
SRR25701184,WGS,feces metagenome
ERR12331287,WGS,metagenome
ERR1855551,WGS,Sus scrofa
SRR11615209,WGA,metagenome
ERR6395204,WGS,Homo sapiens
SRR10499667,WGS,human gut metagenome
ERR2245443,WGS,metagenome
SRR10121601,WGS,human gut metagenome
SRR15057926,WGS,pig gut metagenome
ERR6406536,WGS,human gut metagenome
ERR3573563,WGS,sediment metagenome
ERR3484150,OTHER,human gut metagenome
SRR17319343,WGS,human gut metagenome
SRR18468142,OTHER,human gut metagenome
SRR8960211,WGS,pig gut metagenome
SRR8960912,WGS,pig gut metagenome
SRR8960209,WGS,pig gut metagenome
ERR11456672,WGS,human gut metagenome
ERR11478583,WGS,human gut metagenome
SRR19074044,WGS,human gut metagenome
SRR13271845,WGS,metagenome
ERR4678570,WGS,wastewater metagenome
SRR18707038,WGS,metagenome
ERR11504285,WGS,human gut metagenome
ERR11504098,WGS,human gut metagenome
ERR11564178,WGS,human gut metagenome
SRR28431736,WGS,metagenome
ERR11029051,WGS,human gut metagenome
ERR3393516,WGS,gut metagenome
SRR5056758,WGS,human gut metagenome
ERR2641638,WGS,human metagenome
SRR16643174,WGS,human gut metagenome
SRR5866559,WGS,human gut metagenome
SRR18687021,WGS,human gut metagenome
ERR4333876,WGS,gut metagenome
ERR321493,WGS,human gut metagenome
ERR1135290,WGS,pig gut metagenome
SRR11126194,WGS,pig gut metagenome
SRR11126057,WGS,pig gut metagenome
ERR7015385,WGS,metagenome
SRR18468180,OTHER,human gut metagenome
ERR2597401,WGS,gut metagenome
ERR1224347,WGS,unidentified
SRR24518641,WGS,human metagenome
SRR10828597,WGS,feces metagenome
SRR25161323,WGS,pig gut metagenome
ERR12087257,WGS,pig gut metagenome
ERR11504018,WGS,human gut metagenome
ERR11504080,WGS,human gut metagenome
SRR15292435,WGS,metagenome
SRR8506026,WGS,gut metagenome
ERR12330525,WGS,human gut metagenome
ERR11457471,WGS,human gut metagenome
ERR11473847,WGS,human gut metagenome
SRR13348808,WGS,metagenome
SRR28086701,WGS,Homo sapiens
SRR16597000,OTHER,gut metagenome
SRR21969571,OTHER,metagenome
ERR2597472,WGS,gut metagenome
ERR11504613,WGS,human gut metagenome
ERR11564778,WGS,human gut metagenome
ERR11566461,WGS,human gut metagenome
ERR1135439,WGS,pig gut metagenome
SRR30924214,WGS,wastewater metagenome
ERR10930181,WGS,pig gut metagenome
ERR11478427,WGS,human gut metagenome
ERR7738194,WGS,human gut metagenome
SRR22077183,OTHER,pig gut metagenome
SRR16327209,OTHER,gut metagenome
SRR22098446,WGA,gut metagenome
SRR26629435,WGS,pig metagenome
SRR13618050,WGS,air metagenome
ERR4335139,WGS,gut metagenome
ERR11570685,WGS,human gut metagenome
ERR1135437,WGS,pig gut metagenome
ERR911976,WGS,human gut metagenome
SRR1237931,WGS,human gut metagenome
SRR20627610,WGS,gut metagenome
ERR1224348,WGS,unidentified
ERR4682776,WGS,wastewater metagenome
SRR27538813,WGS,human gut metagenome
ERR4341833,WGS,gut metagenome
ERR11504257,WGS,human gut metagenome
ERR11504562,WGS,human gut metagenome
ERR3393541,WGS,gut metagenome
ERR2102799,WGS,human gut metagenome
ERR1135273,WGS,pig gut metagenome
SRR8960321,WGS,pig gut metagenome
SRR27460906,WGS,Homo sapiens
SRR18048911,WGS,pig gut metagenome
SRR15057928,WGS,pig gut metagenome
SRR13712915,WGS,human gut metagenome
SRR11125415,WGS,pig gut metagenome
SRR11183536,WGS,pig gut metagenome
ERR11477250,WGS,human gut metagenome
ERR11456915,WGS,human gut metagenome
SRR10692061,OTHER,human gut metagenome
SRR17410016,WGS,metagenome
ERR10930184,WGS,pig gut metagenome
ERR912021,WGS,human gut metagenome
SRR10499554,WGS,human gut metagenome
SRR7188236,WGS,feces metagenome
ERR4283162,WGS,Homo sapiens
SRR22877846,WGS,feces metagenome
SRR14693200,WGS,gut metagenome
ERR3522017,WGS,human metagenome
SRR27109380,WGS,human gut metagenome
DRR576522,WGS,human gut metagenome
SRR22024890,WGS,metagenome
SRR25321193,WGS,human gut metagenome
ERR4333959,WGS,gut metagenome
ERR11504292,WGS,human gut metagenome
ERR11504600,WGS,human gut metagenome
ERR11504429,WGS,human gut metagenome
ERR11504321,WGS,human gut metagenome
SRR11184111,WGS,pig gut metagenome
SRR11183585,WGS,pig gut metagenome
SRR11124657,WGS,pig gut metagenome
SRR11183370,WGS,pig gut metagenome
ERR11457919,WGS,human gut metagenome
SRR24962630,WGA,gut metagenome
SRR1237782,WGS,wastewater metagenome
SRR19906106,WGS,pig metagenome
ERR3211932,WGS,pig gut metagenome
ERR10692011,WGS,feces metagenome
SRR15966647,WGS,human gut metagenome
DRR221361,WGS,human gut metagenome
ERR12394694,WGS,human gut metagenome
ERR3450980,WGS,human metagenome
ERR4335269,WGS,gut metagenome
ERR11569364,WGS,human gut metagenome
SRR30181091,WGS,metagenome
SRR11126213,WGS,pig gut metagenome
ERR11458746,WGS,Homo sapiens
ERR11457477,WGS,human gut metagenome
SRR26937447,WGS,compost metagenome
SRR5580320,WGS,human gut metagenome
SRR24770796,WGS,human gut metagenome
SRR14763280,WGS,human gut metagenome
SRR27539010,WGS,human gut metagenome
ERR6395300,WGS,Homo sapiens
SRR12576914,WGS,gut metagenome
ERR11570203,WGS,human gut metagenome
ERR11564224,WGS,human gut metagenome
SRR11183629,WGS,pig gut metagenome
SRR28206375,WGS,human gut metagenome
ERR11478573,WGS,human gut metagenome
ERR11474383,WGS,human gut metagenome
SRR30188886,OTHER,human gut metagenome
SRR10692868,OTHER,human gut metagenome
SRR21969257,OTHER,metagenome
ERR8098072,FL-cDNA,metagenome
ERR1855553,WGS,Sus scrofa
SRR18572854,WGA,gut metagenome
ERR6395160,WGS,Homo sapiens
ERR414476,WGS,human gut metagenome
SRR5056649,WGS,human gut metagenome
SRR11489780,WGS,pig gut metagenome
SRR11615778,WGS,human gut metagenome
ERR6170185,WGS,human gut metagenome
ERR11564588,WGS,human gut metagenome
SRR11125958,WGS,pig gut metagenome
SRR11126366,WGS,pig gut metagenome
ERR11456523,WGS,human gut metagenome
ERR11456866,WGS,human gut metagenome
ERR11474003,WGS,human gut metagenome
ERR11457273,WGS,human gut metagenome
SRR20632255,WGS,pig gut metagenome
SRR25701124,WGS,feces metagenome
SRR16328991,WGS,feces metagenome
ERR12351798,WGS,metagenome
SRR16327188,OTHER,gut metagenome
SRR21290497,WGS,feces metagenome
SRR13740822,WGS,feces metagenome
ERR2641596,WGS,human metagenome
SRR13517629,WGS,pig gut metagenome
SRR17241593,WGS,pig gut metagenome
SRR18468271,OTHER,human gut metagenome
SRR18706796,WGS,metagenome
ERR11570534,WGS,human gut metagenome
ERR11565267,WGS,human gut metagenome
SRR8960786,WGS,pig gut metagenome
ERR11456500,WGS,human gut metagenome
SRR12459603,WGA,human gut metagenome
SRR5240751,WGS,pig gut metagenome
SRR23801706,WGS,human gut metagenome
SRR17827939,WGS,feces metagenome
ERR4794104,WGS,human gut metagenome
ERR3521949,WGS,human metagenome
SRR26750160,WGS,human gut metagenome
SRR8316657,WGS,human gut metagenome
ERR11566833,WGS,human feces metagenome
ERR11504042,WGS,human gut metagenome
ERR11570881,WGS,human gut metagenome
ERR11504229,WGS,human gut metagenome
SRR11126044,WGS,pig gut metagenome
SRR8960418,WGS,pig gut metagenome
ERR11560354,WGS,metagenome
ERR11473737,WGS,human gut metagenome
SRR21919657,OTHER,metagenome
SRR30188890,OTHER,human gut metagenome
ERR3957688,WGS,human gut metagenome
SRR27430626,OTHER,human gut metagenome
ERR6395274,WGS,Homo sapiens
SRR21977536,WGA,pig gut metagenome
ERR1600699,WGS,metagenome
ERR3211955,WGS,pig gut metagenome
ERR6501037,WGS,human gut metagenome
ERR3574523,WGS,sediment metagenome
SRR20627659,WGS,gut metagenome
SRR23717186,WGS,gut metagenome
SRR25477883,WGS,metagenome
ERR4330051,WGS,gut metagenome
ERR11570135,WGS,human gut metagenome
ERR11566125,WGS,human gut metagenome
ERR11569615,WGS,human gut metagenome
SRR10692820,OTHER,human gut metagenome
SRR8960800,WGS,pig gut metagenome
SRR8960357,WGS,pig gut metagenome
ERR10101392,WGS,human gut metagenome
ERR4398806,WGS,feces metagenome
ERR1726033,WGS,wastewater metagenome
ERR7197590,WGS,Sus scrofa
SRR19221419,WGS,rat gut metagenome
ERR4341680,WGS,gut metagenome
ERR4334048,WGS,gut metagenome
ERR11504515,WGS,human gut metagenome
ERR10101421,WGS,human gut metagenome
ERR11458705,WGS,Homo sapiens
ERR11457997,WGS,human gut metagenome
ERR11473462,WGS,human gut metagenome
ERR3574341,WGS,sediment metagenome
ERR3573568,WGS,sediment metagenome
SRR10692541,OTHER,human gut metagenome
SRR10816082,WGA,human gut metagenome
SRR17806418,WGS,feces metagenome
SRR18491248,WGS,gut metagenome
SRR19581649,WGS,gut metagenome
SRR9866655,WGS,Lawsonia intracellularis
SRR15081964,WGS,feces metagenome
SRR27539013,WGS,human gut metagenome
ERR4283167,WGS,Homo sapiens
ERR11566921,WGS,human feces metagenome
ERR11565374,WGS,human gut metagenome
ERR9752248,WGS,human feces metagenome
ERR11564157,WGS,human gut metagenome
SRR11123030,WGS,pig gut metagenome
SRR14369297,WGS,pig gut metagenome
ERR7451764,WGS,human gut metagenome
SRR10499579,WGS,human gut metagenome
ERR11458057,WGS,human gut metagenome
ERR3563107,WGS,wastewater metagenome
ERR2213193,OTHER,pig gut metagenome
SRR16894759,WGS,feces metagenome
SRR22013525,WGS,compost metagenome
SRR11183865,WGS,pig gut metagenome
SRR11125480,WGS,pig gut metagenome
ERR11477446,WGS,human gut metagenome
SRR20662449,WGS,pig gut metagenome
SRR19497820,WGS,pig gut metagenome
SRR22460742,WGS,pig metagenome
ERR3588751,WGS,metagenome
SRR6425788,WGS,human metagenome
ERR2241831,WGS,metagenome
ERR3211792,WGS,pig gut metagenome
SRR18491221,WGS,gut metagenome
SRR18468171,OTHER,human gut metagenome
ERR11566683,WGS,human gut metagenome
ERR11564087,WGS,human gut metagenome
SRR11125547,WGS,pig gut metagenome
SRR11126081,WGS,pig gut metagenome
SRR11124762,WGS,pig gut metagenome
ERR11456988,WGS,human gut metagenome
SRR20627600,WGS,gut metagenome
SRR24770793,WGS,human gut metagenome
SRR18686845,WGS,human gut metagenome
SRR6122204,WGS,gut metagenome
ERR10628393,WGS,human gut metagenome
ERR6910968,WGS,Homo sapiens
ERR4334187,WGS,gut metagenome
ERR11570504,WGS,human gut metagenome
SRR11183992,WGS,pig gut metagenome
SRR12771531,WGS,human gut metagenome
ERR3563111,WGS,wastewater metagenome
ERR6323936,WGS,human gut metagenome
SRR28428820,WGS,metagenome
SRR18491228,WGS,gut metagenome
ERR11566676,WGS,human gut metagenome
SRR11184051,WGS,pig gut metagenome
SRR11124804,WGS,pig gut metagenome
ERR11457277,WGS,human gut metagenome
ERR11478291,WGS,human gut metagenome
SRR13271849,WGS,metagenome
SRR10692638,OTHER,human gut metagenome
SRR1612005,WGS,gut metagenome
SRR16329094,WGS,feces metagenome
SRR8925794,WGS,bioreactor metagenome
SRR27538916,WGS,human gut metagenome
ERR7162967,WGS,human gut metagenome
ERR6170228,WGS,human gut metagenome
ERR1600619,WGS,metagenome
SRR11125540,WGS,pig gut metagenome
SRR11185228,WGS,pig gut metagenome
ERR11477001,WGS,human gut metagenome
ERR11457901,WGS,human gut metagenome
ERR11473041,WGS,human gut metagenome
ERR11477435,WGS,human gut metagenome
ERR11457877,WGS,human gut metagenome
SRR19074167,WGS,human gut metagenome
SRR9969854,OTHER,gut metagenome
SRR31313982,OTHER,Lactobacillus johnsonii
SRR22027786,OTHER,metagenome
SRR16596996,OTHER,gut metagenome
SRR7182036,WGS,pig gut metagenome
SRR22460758,WGS,pig metagenome
SRR22460789,WGS,pig metagenome
SRR22098444,WGA,gut metagenome
ERR1744184,WGS,metagenome
SRR13060978,WGS,human gut metagenome
SRR26820231,WGS,pig gut metagenome
SRR25571560,WGS,human gut metagenome
SRR21615061,WGS,Bacteroides fragilis
SRR10692686,OTHER,human gut metagenome
SRR11124796,WGS,pig gut metagenome
SRR11125919,WGS,pig gut metagenome
SRR8960192,WGS,pig gut metagenome
SRR8960839,WGS,pig gut metagenome
ERR5729288,OTHER,metagenome
ERR5729270,OTHER,metagenome
ERR11478422,WGS,human gut metagenome
ERR209714,WGS,human gut metagenome
SRR17241532,WGS,pig gut metagenome
SRR13452505,WGS,feces metagenome
ERR4341927,WGS,gut metagenome
ERR11565102,WGS,human gut metagenome
SRR28428472,WGS,metagenome
SRR21938626,OTHER,metagenome
SRR17000988,WGS,feces metagenome
ERR4398795,WGS,feces metagenome
ERR7197566,WGS,Sus scrofa
SRR27108418,WGS,pig gut metagenome
SRR16329143,WGS,feces metagenome
SRR17827874,WGS,feces metagenome
SRR15725432,WGS,gut metagenome
ERR2451954,WGS,Homo sapiens
SRR11088412,WGS,wastewater metagenome
SRR15032143,WGS,human gut metagenome
ERR4333984,WGS,gut metagenome
ERR6170180,WGS,human gut metagenome
ERR11569455,WGS,human gut metagenome
ERR11569768,WGS,human gut metagenome
ERR1135310,WGS,pig gut metagenome
SRR10680575,WGS,human gut metagenome
SRR28282882,WGS,human gut metagenome
SRR11183943,WGS,pig gut metagenome
ERR5729228,OTHER,metagenome
SRR11599118,WGS,metagenome
ERR7197526,WGS,Sus scrofa
ERR1539358,WGS,gut metagenome
SRR5580372,WGS,human gut metagenome
SRR17241534,WGS,pig gut metagenome
ERR6395195,WGS,Homo sapiens
ERR2020033,WGS,Sus scrofa
ERR1135185,WGS,pig gut metagenome
ERR414351,WGS,human gut metagenome
ERR7365747,WGS,human gut metagenome
ERR11477722,WGS,human gut metagenome
SRR30229059,WGS,Sus scrofa
ERR7738534,WGS,human gut metagenome
SRR18468168,OTHER,human gut metagenome
SRR25247413,WGA,human gut metagenome
SRR27108420,WGS,pig gut metagenome
SRR3053180,WGS,bovine metagenome
SRR31097825,WGS,gut metagenome
SRR12217744,WGS,gut metagenome
SRR14863652,WGS,metagenome
SRR17549188,WGS,wastewater metagenome
ERR1135462,WGS,pig gut metagenome
SRR14474045,WGS,feces metagenome
ERR11803011,WGS,metagenome
SRR8960113,WGS,pig gut metagenome
SRR11183962,WGS,pig gut metagenome
SRR11124953,WGS,pig gut metagenome
ERR11029117,WGS,human gut metagenome
SRR14759162,OTHER,feces metagenome
SRR27975592,WGS,human gut metagenome
SRR25701127,WGS,feces metagenome
SRR27027733,WGS,human gut metagenome
ERR9578307,WGS,Homo sapiens
SRR10816047,WGA,human gut metagenome
SRR13740810,WGS,gut metagenome
DRR221411,WGS,human gut metagenome
ERR11566607,WGS,human gut metagenome
ERR11570313,WGS,human gut metagenome
ERR11504286,WGS,human gut metagenome
ERR11569422,WGS,human gut metagenome
ERR11569578,WGS,human gut metagenome
SRR11126120,WGS,pig gut metagenome
SRR14369188,WGS,pig gut metagenome
ERR11457285,WGS,human gut metagenome
