rank,name,diff,sourmash,singleM
order,o__Gastranaerophilales,-1.279374772,2.17218074,0.892805968
class,c__Vampirovibrionia,-1.279374772,2.17218074,0.892805968
family,f__Gastranaerophilaceae,-1.577454804,2.470593537,0.893138733
order,o__Gastranaerophilales,-1.577454804,2.470593537,0.893138733
class,c__Vampirovibrionia,-1.577454804,2.470593537,0.893138733
family,f__CAG-917,-1.837453545,2.730782062,0.893328517
order,o__TANB77,-1.633871206,2.527247596,0.893376391
order,o__TANB77,-1.878396693,2.772028482,0.893631789
genus,g__Anaerovibrio,-1.056649331,1.950886049,0.894236719
phylum,p__Cyanobacteriota,-1.284989536,2.179559071,0.894569535
genus,g__F23-B02,-1.047829096,1.942429393,0.894600298
genus,g__Faecousia,-1.142053223,2.037181867,0.895128644
family,f__CAG-826,-1.681570757,2.576972418,0.895401661
family,f__Ruminococcaceae,-1.094565199,1.990046896,0.895481696
family,f__CAG-826,-2.110900356,3.007407407,0.896507052
phylum,p__Cyanobacteriota,-1.57915252,2.476001622,0.896849102
family,f__Acutalibacteraceae,-1.80942484,2.709864582,0.900439742
order,o__TANB77,-2.169208699,3.069718526,0.900509827
genus,g__Ornithospirochaeta,-1.104047398,2.005272388,0.90122499
family,f__Aristaeellaceae,-2.127913123,3.030325386,0.902412263
family,f__UBA660,-4.365819592,5.271277819,0.905458228
order,o__RF39,-4.365819592,5.271277819,0.905458228
genus,g__Colinaster,-1.038698962,1.946603478,0.907904516
family,f__CAG-826,-1.989300074,2.897452471,0.908152397
genus,g__Vescimonas,-1.223140264,2.131999965,0.908859701
order,o__TANB77,-2.038428273,2.948920119,0.910491845
genus,g__Alloprevotella,-1.352243345,2.262790972,0.910547628
phylum,p__Actinomycetota,-1.123314868,2.033918548,0.910603679
family,f__UBA1067,-1.169351667,2.080555556,0.911203889
family,f__CAG-272,-1.791748126,2.703521478,0.911773352
order,o__TANB77,-2.223436755,3.135637439,0.912200684
genus,g__Physcousia,-1.074190535,1.98747127,0.913280734
order,o__RFP12,-1.166357867,2.080555556,0.914197689
phylum,p__Pseudomonadota,-1.231565652,2.146061893,0.91449624
genus,g__Alloprevotella,-1.483359879,2.39803157,0.914671691
class,c__Kiritimatiellia,-1.171369095,2.086111111,0.914742016
order,o__Opitutales,-1.015336822,1.931314,0.915977178
family,f__CAG-826,-1.739946392,2.659146776,0.919200383
genus,g__Faecousia,-1.27682735,2.198841984,0.922014634
order,o__Christensenellales,-2.454274062,3.376964735,0.922690673
order,o__RFP12,-1.062355925,1.98734026,0.924984335
class,c__Kiritimatiellia,-1.082659281,2.007643616,0.924984335
family,f__CAG-288,-1.425390706,2.35322549,0.927834784
species,s__Colicola sp022783865,-1.24220847,2.170264008,0.928055537
family,f__CAG-917,-1.572727745,2.504810776,0.932083032
order,o__Christensenellales,-3.040761844,3.972966929,0.932205085
order,o__RFN20,-1.592897985,2.52621398,0.933315995
family,f__CAG-826,-1.98558228,2.919774541,0.934192261
family,f__CAG-826,-2.143036379,3.079904457,0.936868078
genus,g__Alloprevotella,-1.335162787,2.272222222,0.937059435
family,f__Selenomonadaceae,-1.122376889,2.064624181,0.942247292
order,o__Selenomonadales,-1.122376889,2.064624181,0.942247292
order,o__TANB77,-1.885742327,2.828112563,0.942370235
genus,g__UBA1067,-1.254589799,2.199299164,0.944709365
genus,g__Physcousia,-1.076944584,2.024074074,0.94712949
genus,g__Alloprevotella,-1.203064938,2.150889353,0.947824415
genus,g__Alloprevotella,-1.364779547,2.314479349,0.949699802
order,o__TANB77,-1.9218164,2.871602559,0.949786159
family,f__CAG-917,-1.707553034,2.65767494,0.950121907
family,f__CAG-138,-1.219754583,2.170678249,0.950923666
order,o__RFN20,-2.046681042,2.997718224,0.951037182
class,c__Negativicutes,-1.126911305,2.078342782,0.951431476
family,f__UBA660,-3.87186465,4.825591073,0.953726423
order,o__RF39,-3.87186465,4.825591073,0.953726423
genus,g__Faecousia,-1.244610961,2.199968082,0.95535712
genus,g__Faecousia,-1.207585472,2.164785941,0.957200468
family,f__CAG-508,-2.770343114,3.730346792,0.960003678
genus,g__Faecousia,-2.365509962,3.331138602,0.96562864
species,s__Treponema_D succinifaciens,-1.177955224,2.144040639,0.966085415
family,f__Paludibacteraceae,-1.095479761,2.063075255,0.967595493
phylum,p__Actinomycetota,-1.101699124,2.069335491,0.967636367
phylum,p__Pseudomonadota,-1.364321422,2.332449239,0.968127816
genus,g__Anaerovibrio,-1.175451511,2.14365807,0.968206559
genus,g__Alloprevotella,-1.532711088,2.500920229,0.968209141
family,f__Ruminococcaceae,-1.129655636,2.097936103,0.968280467
genus,g__Ventricola,-1.113220167,2.081897146,0.96867698
family,f__UBA1067,-1.008302024,1.978068514,0.969766489
order,o__RFP12,-1.006991086,1.978068514,0.971077427
class,c__Kiritimatiellia,-1.006991086,1.978068514,0.971077427
order,o__TANB77,-2.644659655,3.618470401,0.973810746
family,f__Selenomonadaceae,-1.154550998,2.12967345,0.975122452
order,o__Selenomonadales,-1.154550998,2.12967345,0.975122452
family,f__CAG-826,-2.236053528,3.215171925,0.979118396
genus,g__F23-B02,-1.189924796,2.169545607,0.979620811
family,f__Ruminococcaceae,-1.782709653,2.763612568,0.980902915
genus,g__Faecousia,-2.390585241,3.371551415,0.980966175
family,f__CAG-826,-2.278517933,3.259880565,0.981362632
superkingdom,d__Archaea,-1.681891679,2.667120746,0.985229068
genus,g__UBA1067,-1.482542185,2.471774571,0.989232387
family,f__Acutalibacteraceae,-1.679557092,2.668913166,0.989356074
family,f__UBA1067,-1.346466639,2.338127835,0.991661196
family,f__CAG-826,-1.493112925,2.485394054,0.992281129
phylum,p__Verrucomicrobiota,-1.199257226,2.191642353,0.992385127
order,o__RFN20,-1.624346119,2.6178292,0.993483081
family,f__CAG-826,-2.182129268,3.17757232,0.995443052
genus,g__Alloprevotella,-1.393544848,2.389007371,0.995462523
order,o__TANB77,-2.037213285,3.033075669,0.995862384
genus,g__Faecousia,-1.995743276,2.99350466,0.997761383
order,o__Christensenellales,-2.757944908,3.757279916,0.999335008
order,o__RFN20,-1.182178782,2.183787561,1.001608779
strain,AtH2023_SRR8960733_MAG19 s__Cryptobacteroides sp004554455,1.001737095,0,1.001737095
genus,g__Faecousia,-1.301515507,2.304219212,1.002703705
family,f__Paludibacteraceae,-1.50576205,2.509030107,1.003268057
family,f__Enterobacteriaceae,1.00468494,0,1.00468494
class,c__Negativicutes,-1.132805469,2.13919179,1.006386321
order,o__RFP12,-1.369669354,2.37692727,1.007257915
class,c__Kiritimatiellia,-1.369669354,2.37692727,1.007257915
genus,g__W2P13-069,-1.156560809,2.163866688,1.007305879
family,f__QAMH01,-1.16308503,2.17039091,1.007305879
family,f__UBA660,-5.969373211,6.978084673,1.008711462
order,o__RF39,-5.969373211,6.978084673,1.008711462
strain,GCA_034113945 s__Prevotella sp022771625,1.010797658,0,1.010797658
strain,GCA_022779425 s__Sodaliphilus sp004557565,1.011518064,0,1.011518064
strain,AtH2023_SRR17241627_MAG36 s__Methanosphaera sp022768985,1.013836223,0,1.013836223
order,o__Coriobacteriales,-1.461317679,2.475855201,1.014537521
class,c__Coriobacteriia,-1.475402136,2.49074408,1.015341944
order,o__TANB77,-2.906348174,3.922537222,1.016189048
family,f__Erysipelotrichaceae,-3.011800884,4.028269019,1.016468135
species,s__Methanosphaera sp022768985,-1.195269331,2.212723813,1.017454482
genus,g__Methanosphaera,-1.194545679,2.212723813,1.018178134
strain,GCA_022782605 s__Terrisporobacter sp022782605,1.018458599,0,1.018458599
strain,AtH2023_SRR8960731_MAG02 s__Sodaliphilus sp004557565,1.018901033,0,1.018901033
family,f__UBA1067,-1.063838136,2.083682476,1.01984434
genus,g__Ornithospirochaeta,-1.46962889,2.490468794,1.020839904
genus,g__Alloprevotella,-1.163860656,2.186324709,1.022464053
family,f__UBA1067,-1.246812523,2.269694515,1.022881992
strain,GCA_934177685 s__Prevotella faecis,1.023914426,0,1.023914426
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.025843669,0,1.025843669
order,o__RFP12,-1.242991911,2.269694515,1.026702604
class,c__Kiritimatiellia,-1.242644583,2.269694515,1.027049932
family,f__UBA1067,-1.227675455,2.254805848,1.027130393
family,f__CAG-138,-1.26292969,2.290389347,1.027459656
species,s__RUG131 sp900315885,-1.424264276,2.452152019,1.027887743
genus,g__RUG131,-1.424264276,2.452152019,1.027887743
class,c__Negativicutes,-1.304742847,2.332738223,1.027995377
genus,g__Faecousia,-1.462859155,2.491059317,1.028200162
order,o__TANB77,-2.23926662,3.268725207,1.029458587
order,o__RFP12,-1.224954253,2.254805848,1.029851595
class,c__Kiritimatiellia,-1.229821742,2.259920719,1.030098978
family,f__CAG-917,-1.643640687,2.674943737,1.03130305
family,f__CAG-138,-1.079697222,2.111236187,1.031538965
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.032088041,0,1.032088041
order,o__RFP12,-1.062959402,2.099643276,1.036683875
class,c__Kiritimatiellia,-1.062959402,2.099643276,1.036683875
order,o__TANB77,-2.698635043,3.735374076,1.036739033
strain,GCA_945641125 s__Prevotella sp945863825,1.036954129,0,1.036954129
order,o__Lactobacillales,-1.064700126,2.101821579,1.037121453
family,f__CAG-826,-2.101323652,3.138742142,1.03741849
species,s__Prevotella sp945863825,1.037424403,0,1.037424403
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.037894677,0,1.037894677
family,f__Acutalibacteraceae,-1.636944062,2.67646005,1.039515988
strain,GCA_037369705 s__Prevotella sp900313215,1.039798388,0,1.039798388
strain,GCF_022768105 s__Methanobrevibacter ruminantium_A,1.039982798,0,1.039982798
genus,g__Spyradosoma,-1.209532301,2.251592804,1.042060504
family,f__UBA953,-1.220072917,2.262133421,1.042060504
strain,AtH2023_SRR14369228_MAG02 s__Treponema_D succinifaciens,1.042075451,0,1.042075451
genus,g__Anaerovibrio,-1.31395407,2.356367699,1.042413629
species,s__Methanobrevibacter ruminantium_A,-1.043617931,2.087248445,1.043630513
genus,g__Methanobrevibacter,-1.043233961,2.087248445,1.044014483
strain,AtH2023_SRR14369228_MAG02 s__Treponema_D succinifaciens,1.044174888,0,1.044174888
phylum,p__Pseudomonadota,-2.138355976,3.183290603,1.044934627
strain,GCA_945830985 s__Liminaster sp004557315,1.045741537,0,1.045741537
family,f__Erysipelotrichaceae,-1.131096689,2.177277587,1.046180898
strain,GCA_037369705 s__Prevotella sp900313215,1.048593665,0,1.048593665
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.04939478,0,1.04939478
family,f__UBA660,-1.608739112,2.658396101,1.049656989
order,o__RF39,-1.608739112,2.658396101,1.049656989
family,f__Acutalibacteraceae,-1.697872357,2.748293287,1.05042093
genus,g__Alloprevotella,-1.291785631,2.342847979,1.051062349
genus,g__Anaerovibrio,-1.161546768,2.213200158,1.05165339
family,f__Selenomonadaceae,-1.187871885,2.239769333,1.051897448
order,o__Selenomonadales,-1.187871885,2.239769333,1.051897448
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.052162341,0,1.052162341
family,f__UBA1067,-1.151789235,2.204891882,1.053102647
genus,g__Faecalibacterium,-1.120110406,2.173282527,1.053172121
order,o__Opitutales,-1.29124678,2.344701583,1.053454803
phylum,p__Verrucomicrobiota,-1.086986029,2.140690697,1.053704668
class,c__Negativicutes,-1.557277555,2.612336419,1.055058864
order,o__RFP12,-1.147097551,2.204891882,1.057794331
class,c__Kiritimatiellia,-1.154187236,2.211981567,1.057794331
order,o__Erysipelotrichales,-1.297916888,2.357056126,1.059139238
genus,g__Colicola,-1.127647112,2.186870555,1.059223443
family,f__Sphaerochaetaceae,-1.734185413,2.7956461,1.061460687
order,o__Sphaerochaetales,-1.734185413,2.7956461,1.061460687
order,o__Peptostreptococcales,-1.397219154,2.460654991,1.063435838
strain,GCF_946409665 s__Streptococcus faecavium,1.064130026,0,1.064130026
strain,GCF_900543325 s__Clostridium sp900543325,1.065367026,0,1.065367026
order,o__RFN20,-1.634280669,2.700508331,1.066227662
order,o__Christensenellales,-2.458214774,3.52445818,1.066243406
class,c__Negativicutes,-1.14982336,2.218865605,1.069042245
order,o__TANB77,-2.467002236,3.537344398,1.070342162
species,s__Streptococcus faecavium,-1.625399965,2.697490161,1.072090196
genus,g__Alloprevotella,-1.763312729,2.835411679,1.07209895
order,o__Christensenellales,-2.79295673,3.865898813,1.072942083
family,f__UBA660,-2.178814947,3.252205788,1.073390841
order,o__RF39,-2.178814947,3.252205788,1.073390841
class,c__Verrucomicrobiia,-1.300068323,2.373981074,1.073912751
family,f__UBA1242,-3.789775624,4.864193148,1.074417524
strain,AtH2023_SRR7182063_MAG4 s__UBA2868 sp004552595,1.074775822,0,1.074775822
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.076607948,0,1.076607948
family,f__Gastranaerophilaceae,-1.498314582,2.575114396,1.076799815
phylum,p__Verrucomicrobiota,-1.375009737,2.452777778,1.07776804
order,o__Gastranaerophilales,-1.49718839,2.575114396,1.077926006
class,c__Vampirovibrionia,-1.500827894,2.5787539,1.077926006
phylum,p__Cyanobacteriota,-1.518078296,2.597613147,1.079534851
strain,AtH2023_SRR17241619_MAG24 s__Prevotella sp002251295,1.080074774,0,1.080074774
strain,GCA_021620945 s__Prevotella sp000434975,1.08015489,0,1.08015489
phylum,p__Verrucomicrobiota,-1.198200436,2.279507864,1.081307428
genus,g__F23-B02,-1.414347643,2.497703749,1.083356105
class,c__Negativicutes,-1.350235646,2.435100493,1.084864847
genus,g__Colicola,-1.190399703,2.275972182,1.085572479
strain,GCF_945615735 s__Clostridium sp000435835,1.086827141,0,1.086827141
family,f__Ruminococcaceae,-1.941813866,3.029091037,1.087277171
phylum,p__Verrucomicrobiota,-1.203750227,2.293084916,1.089334689
strain,GCA_022779425 s__Sodaliphilus sp004557565,1.089354913,0,1.089354913
family,f__Acutalibacteraceae,-1.099984461,2.190226704,1.090242243
strain,AtH2023_SRR8960733_MAG19 s__Cryptobacteroides sp004554455,1.096502118,0,1.096502118
strain,AtH2023_SRR15057928_MAG01 s__UBA2882 sp017626095,1.098819841,0,1.098819841
family,f__CAG-826,-2.393937699,3.492833084,1.098895385
order,o__Erysipelotrichales,-3.186205768,4.286012063,1.099806295
order,o__Peptostreptococcales,-1.148217133,2.24966199,1.101444857
genus,g__F23-B02,-1.22068147,2.322651813,1.101970343
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.102244508,0,1.102244508
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.103079259,0,1.103079259
genus,g__Faecousia,-1.080275349,2.18362656,1.103351211
family,f__UBA1067,-1.101504867,2.20947918,1.107974313
strain,GCA_022779425 s__Sodaliphilus sp004557565,1.109137595,0,1.109137595
genus,g__Alloprevotella,-1.748179544,2.857371458,1.109191914
genus,g__Treponema_D,-1.354267469,2.464453497,1.110186028
order,o__RFN20,-2.956859322,4.068388543,1.111529221
strain,GCA_945641125 s__Prevotella sp945863825,1.113605336,0,1.113605336
species,s__Prevotella sp945863825,1.113987755,0,1.113987755
order,o__Christensenellales,-2.562659706,3.678813693,1.116153987
strain,GCA_036750795 s__Cryptobacteroides sp000433355,1.118781802,0,1.118781802
strain,AtH2023_SRR8960211_MAG67 s__Methanocatella sp900769095,1.11930826,0,1.11930826
strain,GCA_937998895 s__Turicibacter bilis,1.121364815,0,1.121364815
family,f__UBA1067,-1.191477441,2.313499613,1.122022173
phylum,p__Verrucomicrobiota,-1.10990449,2.23286654,1.12296205
genus,g__Colicola,-1.67719154,2.801115504,1.123923964
phylum,p__Actinomycetota,-1.069500154,2.193921904,1.12442175
family,f__Selenomonadaceae,-1.425078511,2.550271305,1.125192795
order,o__Selenomonadales,-1.425078511,2.550271305,1.125192795
strain,GCA_963661995 s__Prevotella sp900546535,1.125315875,0,1.125315875
strain,AtH2023_SRR8960211_MAG67 s__Methanocatella sp900769095,1.126145091,0,1.126145091
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.128891391,0,1.128891391
strain,GCF_946409665 s__Streptococcus faecavium,1.130580815,0,1.130580815
species,s__Methanocatella sp900769095,-1.547937539,2.681092912,1.133155372
order,o__RFP12,-1.101491481,2.235170798,1.133679317
class,c__Kiritimatiellia,-1.101491481,2.235170798,1.133679317
strain,AtH2023_SRR17241619_MAG24 s__Prevotella sp002251295,1.134324254,0,1.134324254
family,f__UBA660,-2.836469794,3.973225837,1.136756043
order,o__RF39,-2.836469794,3.973225837,1.136756043
order,o__RFN20,-2.804621806,3.941512397,1.13689059
strain,GCA_021620945 s__Prevotella sp000434975,1.138630422,0,1.138630422
species,s__Streptococcus faecavium,-2.076810849,3.215734095,1.138923246
phylum,p__Verrucomicrobiota,-1.260108283,2.399313527,1.139205244
family,f__Selenomonadaceae,-1.234171988,2.37607636,1.141904372
order,o__Selenomonadales,-1.234171988,2.37607636,1.141904372
strain,AtH2023_SRR7182063_MAG4 s__UBA2868 sp004552595,1.142299388,0,1.142299388
genus,g__Streptococcus,-1.573956563,2.716602813,1.14264625
genus,g__Treponema_D,-1.254029711,2.397631883,1.143602171
strain,GCA_945641125 s__Prevotella sp945863825,1.144078718,0,1.144078718
family,f__Streptococcaceae,-1.587278127,2.73137168,1.144093554
family,f__UBA660,-3.858915514,5.003279476,1.144363962
order,o__RF39,-3.858915514,5.003279476,1.144363962
genus,g__Oscillibacter,-2.959692961,4.104126628,1.144433667
genus,g__Treponema_D,-1.572485688,2.7176208,1.145135112
strain,GCA_945831595 s__Prevotella sp004556065,1.145614617,0,1.145614617
class,c__Negativicutes,-1.306900274,2.454203615,1.147303342
strain,AtH2023_SRR8960731_MAG02 s__Sodaliphilus sp004557565,1.147610596,0,1.147610596
family,f__Treponemataceae,-1.355040137,2.504253094,1.149212957
class,c__Negativicutes,-1.591166122,2.741819266,1.150653144
order,o__Treponematales,-1.357901186,2.5089354,1.151034214
superkingdom,d__Archaea,-2.923692473,4.075161017,1.151468544
strain,GCA_948553825 s__Lactobacillus sp910589675,1.151651942,0,1.151651942
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.152088138,0,1.152088138
strain,AtH2023_SRR17241619_MAG24 s__Prevotella sp002251295,1.154034384,0,1.154034384
genus,g__Fusobacterium_A,-1.428330333,2.583249688,1.154919356
family,f__UBA1067,-1.647415933,2.802880542,1.155464609
strain,GCA_037369705 s__Prevotella sp900313215,1.155905523,0,1.155905523
species,s__Lactobacillus sp910589675,1.15673686,0,1.15673686
strain,AtH2023_SRR17241629_MAG12 s__SFTJ01 sp004563195,1.15831743,0,1.15831743
strain,GCA_021620945 s__Prevotella sp000434975,1.158364844,0,1.158364844
genus,g__Streptococcus,-2.056136127,3.215734095,1.159597967
strain,AtH2023_SRR17241619_MAG24 s__Prevotella sp002251295,1.159717132,0,1.159717132
strain,AtH2023_SRR8960211_MAG60 s__Limimorpha sp900769945,1.16007549,0,1.16007549
strain,GCA_037369705 s__Prevotella sp900313215,1.16112324,0,1.16112324
strain,AtH2023_SRR7182063_MAG4 s__UBA2868 sp004552595,1.161618881,0,1.161618881
strain,AtH2023_SRR7182063_MAG4 s__UBA2868 sp004552595,1.162068588,0,1.162068588
family,f__Ruminococcaceae,-1.079504146,2.241946321,1.162442175
order,o__Peptostreptococcales,-1.268010868,2.430919664,1.162908795
family,f__Streptococcaceae,-2.05142084,3.215734095,1.164313255
strain,GCF_945615735 s__Clostridium sp000435835,1.166373918,0,1.166373918
strain,AtH2023_SRR14369228_MAG02 s__Treponema_D succinifaciens,1.16696682,0,1.16696682
strain,GCA_021620945 s__Prevotella sp000434975,1.171321826,0,1.171321826
family,f__Paludibacteraceae,-1.214000691,2.386237514,1.172236823
phylum,p__Verrucomicrobiota,-1.172986975,2.3454396,1.172452626
strain,GCA_934177685 s__Prevotella faecis,1.17286331,0,1.17286331
class,c__Negativicutes,-1.069935073,2.242824367,1.172889294
genus,g__Faecousia,-3.587971864,4.76457313,1.176601267
strain,GCA_945641125 s__Prevotella sp945863825,1.177038109,0,1.177038109
species,s__Prevotella sp945863825,1.177038109,0,1.177038109
strain,AtH2023_SRR17241627_MAG06 s__Fibrobacter sp946062555,1.177381678,0,1.177381678
strain,GCA_945949975 s__Prevotella copri,1.178528225,0,1.178528225
strain,GCA_022782605 s__Terrisporobacter sp022782605,1.179198385,0,1.179198385
species,s__Prevotella copri,1.179765135,0,1.179765135
species,s__Methanocatella sp900769095,-1.347982295,2.529082912,1.181100617
species,s__UBA2882 sp017626095,1.081879365,0.102420673,1.184300038
family,f__Sphaerochaetaceae,-1.026882815,2.211513108,1.184630293
order,o__Sphaerochaetales,-1.026882815,2.211513108,1.184630293
phylum,p__Pseudomonadota,-1.378982055,2.565191686,1.186209631
family,f__Treponemataceae,-1.338372088,2.525239373,1.186867284
order,o__Treponematales,-1.338079756,2.525239373,1.187159616
strain,GCA_017394055 s__Treponema_D sp002395155,1.190407271,0,1.190407271
genus,g__Faecousia,-2.407428278,3.600033257,1.192604979
phylum,p__Verrucomicrobiota,-1.496008754,2.689081638,1.193072883
genus,g__Methanocatella,-1.66719799,2.8611268,1.19392881
genus,g__Treponema_D,-1.626000899,2.821107767,1.195106868
strain,GCA_945641125 s__Prevotella sp945863825,1.197404408,0,1.197404408
order,o__Christensenellales,-2.558371795,3.756782636,1.198410841
family,f__Treponemataceae,-1.554860584,2.754820937,1.199960352
order,o__Treponematales,-1.560893039,2.760853391,1.199960352
strain,GCA_036750795 s__Cryptobacteroides sp000433355,1.200270099,0,1.200270099
strain,GCA_945949975 s__Prevotella copri,1.202020297,0,1.202020297
family,f__Methanobacteriaceae,-1.49416244,2.696560707,1.202398268
order,o__Methanobacteriales,-1.530190486,2.732588754,1.202398268
class,c__Methanobacteria,-1.530190486,2.732588754,1.202398268
phylum,p__Methanobacteriota,-1.544047427,2.746445695,1.202398268
strain,AtH2023_SRR8960731_MAG02 s__Sodaliphilus sp004557565,1.203403534,0,1.203403534
species,s__Prevotella copri,1.204371667,0,1.204371667
genus,g__Alloprevotella,-1.607846574,2.812799234,1.20495266
strain,GCA_945641125 s__Prevotella sp945863825,1.208665906,0,1.208665906
species,s__Prevotella sp945863825,-1.083430399,2.292096305,1.208665906
strain,AtH2023_SRR14369192_MAG17 s__Prevotella sp000436915,1.208782659,0,1.208782659
strain,GCA_022782605 s__Terrisporobacter sp022782605,1.215652637,0,1.215652637
species,s__Terrisporobacter sp022782605,1.146715645,0.068936992,1.215652637
order,o__RFP12,-1.226052212,2.444681905,1.218629693
class,c__Kiritimatiellia,-1.240821079,2.459450772,1.218629693
genus,g__Terrisporobacter,1.150365822,0.07090662,1.221272442
genus,g__Alloprevotella,-1.621418572,2.842820394,1.221401822
strain,GCA_945641125 s__Prevotella sp945863825,1.221614699,0,1.221614699
species,s__Prevotella sp945863825,-1.00874317,2.230357869,1.221614699
strain,GCF_945615735 s__Clostridium sp000435835,1.22255657,0,1.22255657
phylum,p__Verrucomicrobiota,-1.460187861,2.682750096,1.222562235
strain,AtH2023_SRR17241629_MAG10 s__Prevotella sp900548195,1.223474845,0,1.223474845
order,o__RFP12,-1.77133881,2.995269698,1.223930888
class,c__Kiritimatiellia,-1.77133881,2.995269698,1.223930888
family,f__UBA660,-3.065061343,4.293583261,1.228521918
order,o__RF39,-3.065061343,4.293583261,1.228521918
family,f__Sphaerochaetaceae,-1.538816585,2.767693004,1.22887642
order,o__Sphaerochaetales,-1.538816585,2.767693004,1.22887642
family,f__Methanobacteriaceae,-1.192575471,2.422047474,1.229472003
order,o__Methanobacteriales,-1.196224507,2.42569651,1.229472003
class,c__Methanobacteria,-1.196224507,2.42569651,1.229472003
phylum,p__Methanobacteriota,-1.203522578,2.432994581,1.229472003
family,f__Acutalibacteraceae,-1.549679716,2.780860772,1.231181056
class,c__Negativicutes,-1.244322561,2.477838091,1.23351553
family,f__Paludibacteraceae,-1.427161083,2.662197145,1.235036062
order,o__Christensenellales,-2.361619729,3.597576489,1.23595676
genus,g__Faecousia,-3.261134912,4.500945677,1.239810766
phylum,p__Pseudomonadota,-1.460773165,2.700652146,1.239878981
strain,AtH2023_SRR8960731_MAG02 s__Sodaliphilus sp004557565,1.239919469,0,1.239919469
family,f__UBA660,-2.146203638,3.386786402,1.240582764
order,o__RF39,-2.146203638,3.386786402,1.240582764
phylum,p__Verrucomicrobiota,-1.438967667,2.682263973,1.243296305
family,f__UBA1067,-1.319629421,2.564707966,1.245078545
phylum,p__Pseudomonadota,-1.211024,2.456984328,1.245960329
family,f__Acutalibacteraceae,-2.818186086,4.065025655,1.246839569
order,o__RFP12,-1.317865853,2.564707966,1.246842112
class,c__Kiritimatiellia,-1.317865853,2.564707966,1.246842112
genus,g__Methanocatella,-1.428016703,2.676038969,1.248022266
class,c__Negativicutes,-1.141828718,2.390360449,1.248531731
class,c__Negativicutes,-1.195940966,2.44624426,1.250303294
family,f__UBA660,-3.011283383,4.26207733,1.250793947
order,o__RF39,-3.011283383,4.26207733,1.250793947
family,f__Treponemataceae,-1.694069798,2.945162995,1.251093197
order,o__Treponematales,-1.694069798,2.945162995,1.251093197
genus,g__Limivicinus,-1.281792785,2.533343064,1.251550279
strain,GCA_021620945 s__Prevotella sp000434975,1.251658744,0,1.251658744
phylum,p__Verrucomicrobiota,-1.551268194,2.803721051,1.252452856
phylum,p__Pseudomonadota,-1.409951375,2.663651309,1.253699934
family,f__Methanobacteriaceae,-1.716083386,2.972324202,1.256240817
order,o__Methanobacteriales,-1.716083386,2.972324202,1.256240817
class,c__Methanobacteria,-1.716083386,2.972324202,1.256240817
phylum,p__Methanobacteriota,-1.740793919,2.997034736,1.256240817
genus,g__Clostridium,-1.521349759,2.784321333,1.262971574
strain,GCA_021620945 s__Prevotella sp000434975,1.264156951,0,1.264156951
order,o__RFN20,-2.890152896,4.156831565,1.266678669
genus,g__UBA2868,-1.02069199,2.289909641,1.269217651
strain,GCA_022779425 s__Sodaliphilus sp004557565,1.269304182,0,1.269304182
genus,g__Liminaster,-2.665443132,3.935180916,1.269737784
family,f__UBA3663,-2.665443132,3.935180916,1.269737784
family,f__CAG-917,-2.00103926,3.272217568,1.271178308
genus,g__UBA1067,-1.438494094,2.710140063,1.271645968
order,o__Christensenellales,-2.643905173,3.916214565,1.272309393
order,o__RFN20,-2.807068385,4.079955314,1.27288693
order,o__RFN20,-2.696821507,3.969772066,1.272950559
order,o__RFN20,-1.766749762,3.042394694,1.275644932
genus,g__F23-B02,-1.584020976,2.863670021,1.279649045
class,c__Negativicutes,-1.812331255,3.093022033,1.280690778
genus,g__Terrisporobacter,-1.103941795,2.384814619,1.280872824
class,c__Negativicutes,-1.779631969,3.0627665,1.283134531
family,f__UBA1067,-1.63695619,2.921744708,1.284788518
strain,AtH2023_SRR17241619_MAG24 s__Prevotella sp002251295,1.284807013,0,1.284807013
genus,g__Alloprevotella,-1.537476644,2.822788297,1.285311653
order,o__RFP12,-1.636015642,2.921744708,1.285729066
class,c__Kiritimatiellia,-1.636015642,2.921744708,1.285729066
family,f__UBA660,-3.208846773,4.495401887,1.286555114
order,o__RF39,-3.208846773,4.495401887,1.286555114
strain,GCA_945641125 s__Prevotella sp945863825,1.287258423,0,1.287258423
genus,g__Treponema_D,-1.514220274,2.802364307,1.288144033
genus,g__Treponema_D,-1.466281405,2.75770948,1.291428076
order,o__RFN20,-2.921793747,4.21322411,1.291430363
strain,GCF_946909825 s__Escherichia coli,1.294557187,0,1.294557187
order,o__RFN20,-2.990658432,4.287106203,1.296447771
family,f__Ruminococcaceae,-2.462487558,3.76291531,1.300427751
species,s__Escherichia coli,1.147639798,0.153122045,1.300761843
class,c__Negativicutes,-1.03031465,2.332289725,1.301975075
